id,state,name
755,15,ECATEPEC DE MORELOS
756,15,IXTAPALUCA
757,15,ECATEPEC DE MORELOS
758,15,ACOLMAN
759,15,AXAPUSCO
760,15,CHIAUTLA
761,15,NOPALTEPEC
762,15,OTUMBA
763,15,PAPALOTLA
764,15,SAN MARTIN DE LAS PIRAMIDES
765,15,TEPETLAOXTOC
766,15,TEZOYUCA
767,15,ATIZAPAN DE ZARAGOZA
768,15,ECATEPEC DE MORELOS
769,15,TLALNEPANTLA DE BAZ
770,15,ECATEPEC DE MORELOS
771,15,NEZAHUALCOYOTL
772,15,HUIXQUILUCAN
773,15,ISIDRO FABELA
774,15,JILOTZINGO
775,15,OTZOLOTEPEC
776,15,XONACATLAN
777,15,TLALNEPANTLA DE BAZ
778,15,JALTENCO
779,15,NEXTLALPAN
780,15,TECAMAC
781,15,TONANITLA
782,15,AMECAMECA
783,15,ATLAUTLA
784,15,AYAPANGO
785,15,COCOTITLAN
786,15,ECATZINGO
787,15,IXTAPALUCA
788,15,JUCHITEPEC
789,15,OZUMBA
790,15,TEMAMATLA
791,15,TENANGO DEL AIRE
792,15,TEPETLIXPA
793,15,TLALMANALCO
794,15,ATIZAPAN DE ZARAGOZA
795,15,NAUCALPAN DE JUAREZ
796,15,ALMOLOYA DEL RIO
797,15,ATIZAPAN
798,15,CAPULHUAC
799,15,XALATLACO
800,15,LERMA
801,15,OCOYOACAC
802,15,TEXCALYACAC
803,15,TIANGUISTENCO
804,15,NAUCALPAN DE JUAREZ
805,15,CHIMALHUACAN
806,15,TOLUCA
807,15,CALIMAYA
808,15,CHAPULTEPEC
809,15,METEPEC
810,15,MEXICALTZINGO
811,15,SAN ANTONIO LA ISLA
812,15,SAN MATEO ATENCO
813,15,APAXCO
814,15,HUEYPOXTLA
815,15,TEQUIXQUIAC
816,15,ZUMPANGO
817,15,NEZAHUALCOYOTL
818,15,CHICOLOAPAN
819,15,CHIMALHUACAN
820,15,NEZAHUALCOYOTL
821,15,VALLE DE CHALCO SOLIDARIDAD
822,15,CHALCO
823,15,TOLUCA
824,15,COATEPEC HARINAS
825,15,IXTAPAN DE LA SAL
826,15,JOQUICINGO
827,15,MALINALCO
828,15,OCUILAN
829,15,RAYON
830,15,TENANCINGO
831,15,TENANGO DEL VALLE
832,15,TONATICO
833,15,VILLA GUERRERO
834,15,ZUMPAHUACAN
835,15,ALMOLOYA DE ALQUISIRAS
836,15,AMANALCO
837,15,AMATEPEC
838,15,IXTAPAN DEL ORO
839,15,OTZOLOAPAN
840,15,SAN SIMON DE GUERRERO
841,15,SANTO TOMAS
842,15,SULTEPEC
843,15,TEJUPILCO
844,15,TEMASCALTEPEC
845,15,TEXCALTITLAN
846,15,TLATLAYA
847,15,VALLE DE BRAVO
848,15,ZACAZONAPAN
849,15,ZACUALPAN
850,15,LUVIANOS
851,15,COYOTEPEC
852,15,HUEHUETOCA
853,15,TEOLOYUCAN
854,15,TEPOTZOTLAN
855,15,VILLA DEL CARBON
856,15,ATENCO
857,15,CHICONCUAC
858,15,TEXCOCO
859,15,CHIMALHUACAN
860,15,LA PAZ
861,15,ALMOLOYA DE JUAREZ
862,15,OTZOLOTEPEC
863,15,TEMOAYA
864,15,ZINACANTEPEC
865,16,ARIO
866,16,ARTEAGA
867,16,CHURUMUCO
868,16,GABRIEL ZAMORA
869,16,LA HUACANA
870,16,LAZARO CARDENAS
871,16,MUGICA
872,16,NUEVO URECHO
873,16,PARACUARO
874,16,TUMBISCATIO
875,16,AGUILILLA
876,16,APATZINGAN
877,16,AQUILA
878,16,BUENAVISTA
879,16,COAHUAYANA
880,16,COALCOMAN DE VAZQUEZ PALLARES
881,16,CHINICUILA
882,16,PERIBAN
883,16,LOS REYES
884,16,TANCITARO
885,16,TEPALCATEPEC
886,16,ANGANGUEO
887,16,APORO
888,16,CONTEPEC
889,16,EPITACIO HUERTA
890,16,JUAREZ
891,16,JUNGAPEO
892,16,MARAVATIO
893,16,OCAMPO
894,16,SENGUIO
895,16,SUSUPUATO
896,16,TLALPUJAHUA
897,16,TUXPAN
898,16,TUZANTLA
899,16,ZITACUARO
900,16,BRISEÑAS
901,16,COTIJA
902,16,CHAVINDA
903,16,JACONA
904,16,JIQUILPAN
905,16,MARCOS CASTELLANOS
906,16,PAJACUARAN
907,16,COJUMATLAN DE REGULES
908,16,SAHUAYO
909,16,TANGAMANDAPIO
910,16,TINGÜINDIN
911,16,TOCUMBO
912,16,VENUSTIANO CARRANZA
913,16,VILLAMAR
914,16,VISTA HERMOSA
915,16,CHURINTZIO
916,16,ECUANDUREO
917,16,IXTLAN
918,16,NUMARAN
919,16,PENJAMILLO
920,16,LA PIEDAD
921,16,PUREPERO
922,16,TANHUATO
923,16,TLAZAZALCA
924,16,YURECUARO
925,16,ZAMORA
926,16,ZINAPARO
927,16,ALVARO OBREGON
928,16,COPANDARO
929,16,CUITZEO
930,16,CHARO
931,16,HIDALGO
932,16,HUANDACAREO
933,16,INDAPARAPEO
934,16,IRIMBO
935,16,QUERENDARO
936,16,SANTA ANA MAYA
937,16,TARIMBARO
938,16,TZITZIO
939,16,ZINAPECUARO
940,16,ANGAMACUTIRO
941,16,COENEO
942,16,CHARAPAN
943,16,CHERAN
944,16,CHILCHOTA
945,16,CHUCANDIRO
946,16,HUANIQUEO
947,16,JIMENEZ
948,16,JOSE SIXTO VERDUZCO
949,16,MORELOS
950,16,NAHUATZEN
951,16,PANINDICUARO
952,16,PARACHO
953,16,PURUANDIRO
954,16,QUIROGA
955,16,TANGANCICUARO
956,16,ZACAPU
957,16,MORELIA
958,16,NUEVO PARANGARICUTIRO
959,16,TARETAN
960,16,TINGAMBATO
961,16,URUAPAN
962,16,ZIRACUARETIRO
963,16,MORELIA
964,16,ACUITZIO
965,16,CARACUARO
966,16,ERONGARICUARO
